Source,Target,Weight
7906,9066,66
7906,8305,67
7906,8287,86
7906,7975,86
7906,7942,75
7906,8091,51
7906,8188,40
7906,8056,43
7906,7934,67
7906,8474,82
7906,10167,33
7906,8149,72
7906,8245,106
7906,8008,43
7906,7998,33
7906,8140,36
7906,7959,58
7906,7929,47
7906,7940,55
7906,8005,45
7906,7955,31
7906,10937,3
7906,8073,35
7906,8428,33
7906,8124,31
7906,8186,57
7906,7926,57
7906,8703,35
7906,8174,26
7906,7920,34
7906,8047,52
7906,7936,35
7906,8300,73
7906,7970,58
7906,8114,49
7906,8002,38
7906,7973,81
7906,8084,44
7906,7962,53
7906,8020,64
7906,8131,39
7906,7912,18
7906,7994,46
7906,7957,71
7906,8198,81
7906,7983,43
7906,8031,38
7906,7938,63
7906,8086,46
7906,7951,33
7906,8023,60
7906,7988,34
7906,8211,63
7906,8028,37
7906,8647,34
7906,7949,46
7906,8109,29
7906,7985,71
7906,8219,50
7906,8280,40
7906,8121,70
7906,7918,65
7906,8780,42
7906,7953,48
7906,8000,60
7906,8111,44
7906,7978,45
7906,7944,26
7906,8136,65
7906,8413,24
7906,7916,66
7906,8321,48
7906,7914,72
7906,9647,23
7906,8018,37
7906,7931,42
7906,8848,44
7906,8163,35
7906,7967,48
7906,8033,38
7906,8272,39
7906,8119,57
7906,8184,57
7906,8011,76
7906,8167,41
7906,7924,30
7906,7964,46
7906,8495,27
7906,8243,51
7906,8016,40
7906,8904,30
7906,7980,32
7906,8460,59
7906,8093,57
7906,7908,40
7906,7992,73
7906,8738,33
7906,10112,28
7906,7946,71
7906,7990,61
7906,7922,41
7906,8045,19
7906,7910,55
7908,8428,163
7908,7931,66
7908,8305,59
7908,7934,51
7908,10167,31
7908,8413,117
7908,8163,105
7908,8780,25
7908,7959,78
7908,7918,63
7908,7983,239
7908,8280,33
7908,8167,213
7908,8045,154
7908,7920,172
7908,8031,94
7908,7951,141
7908,7985,51
7908,7962,34
7908,7975,55
7908,7938,80
7908,7926,76
7908,7957,69
7908,8136,49
7908,7916,59
7908,8211,47
7908,8000,65
7908,7910,39
7908,8121,35
7908,7922,181
7908,7940,46
7908,8245,37
7908,7929,130
7908,8186,95
7908,8140,210
7908,8033,160
7908,10112,66
7908,7970,25
7908,8287,54
7908,8184,77
7908,9066,58
7908,7914,56
7908,7936,142
7908,7967,122
7908,8703,40
7908,7994,161
7908,7964,168
7908,7953,198
7908,8114,54
7908,8647,262
7908,8016,191
7908,7955,158
7908,7980,123
7908,8028,201
7908,8174,157
7908,10937,4
7908,8495,185
7908,8002,36
7908,8073,150
7908,8056,40
7908,8091,195
7908,8243,206
7908,7949,231
7908,7944,128
7908,8005,173
7908,8219,54
7908,8008,187
7908,8904,143
7908,7912,124
7908,8149,74
7908,8272,161
7908,8020,55
7908,8738,23
7908,8093,97
7908,7973,55
7908,8084,241
7908,8124,222
7908,7924,214
7908,8460,60
7908,9647,118
7908,8111,23
7908,7946,52
7908,8047,82
7908,8848,24
7908,8109,18
7908,8086,110
7908,8300,81
7908,8131,241
7908,8119,60
7908,8474,51
7908,8188,209
7908,8011,83
7908,8321,45
7908,7942,46
7908,7992,107
7908,8018,149
7908,7988,208
7908,7990,36
7908,8023,38
7908,8198,61
7908,7998,172
7908,7978,198
7908,7906,40
7910,8245,43
7910,8000,42
7910,8011,57
7910,8243,58
7910,8111,31
7910,8002,39
7910,8848,44
7910,8460,51
7910,7973,51
7910,8495,35
7910,7940,42
7910,8413,33
7910,7942,57
7910,7959,60
7910,7998,49
7910,8163,41
7910,7975,60
7910,8780,29
7910,7944,32
7910,8028,43
7910,8119,57
7910,7914,37
7910,8023,40
7910,8474,43
7910,7953,44
